letter;img_url;txt
n;https://gph.is/g/ZnKxwRB;Je ne suis pas à l\'aise avec le sujet, pouvons nous enchaîner ?
o;https://gph.is/22DGGeG;Tout va bien pour moi, continuons cette conversation :smile:
x;https://i.imgur.com/bhpDKJd.jpg;J'aimerais que nous changions de sujet de conversation. Merci.
l;https://gph.is/2qI2Mys;Pourrions nous revenir sur ce sujet plus tard ? Merci.
m;https://gph.is/2NY1tnv;Pouvons nous en parler en MP ? Merci.
y;https://gph.is/g/aeAYX2l;Pouvez-vous poursuivre votre conversation par MP ? Merci (Cette conversation dépasse le cadre de ce salon ou elle pourrait mettre des utilisateur.ice.s mal à l'aise)
t;https://gph.is/1c0yaay;Attention ! Cette conversation traite d\'un sujet sensible. [...]
c;https://gph.is/g/4oyXyQe;Invitez des personnes concerné.e.s à prendre part au débat si iels le souhaitent !.
e;https://gph.is/1caTMzH;Cette conversation m\'intéresse mais je dois y aller ! Je reprendrai à partir de là !
v;https://gph.is/XGFQMo ;J'aimerais que nous changions de sujet de conversation. Merci.
